show,type,genre,opening,closing,performances 
Between Two Worlds,Original,"Play, Drama","Oct 25, 1934",Nov 1934,32
Between You and Me and the Post,Revival,"Musical, Burlesque","Jun 10, 1867","Jun 29, 1867",21
Beverly Hills,Original,Play,"Nov 07, 1940","Nov 30, 1940",28
Beverly's Balance,Original,Play,"Apr 12, 1915",May 1915,40
Beware of Dogs,Original,"Play, Comedy","Oct 03, 1921",Dec 1921,88
Beware of Widows,Original,Play,"Dec 01, 1925","Jan 16, 1926",55
Bewitched,Original,Play,"Oct 01, 1924",Oct 1924,29
Beyond,Original,"Play, Drama","Jan 26, 1925",Feb 1925,16
Beyond Evil,Original,Play,"Jun 07, 1926","Jun 07, 1926",1
Beyond the Fringe,Original,"Play, Revue","Oct 27, 1962","May 30, 1964",667
Beyond the Fringe '65,Original,"Play, Revue","Dec 15, 1964","Jan 09, 1965",30
Beyond Therapy,Original,"Play, Comedy","May 26, 1982","Jun 13, 1982",21
Bicycle Ride to Nevada,Original,Play,"Sep 24, 1963","Sep 24, 1963",1
Biff! Bang!,Original,"Musical, Revue","May 30, 1918","Jun 05, 1918",10
Biff! Bing! Bang!,Original,"Musical, Revue","May 09, 1921","Jul 09, 1921",73
Big,Original,"Musical, Comedy","Apr 28, 1996","Oct 13, 1996",193
Big Boy,Original,"Musical, Comedy","Jan 07, 1925","Mar 14, 1925",56
Big Boy,Revival,"Musical, Comedy","Aug 24, 1925",Dec 1925,120
Big Deal,Original,"Musical, Dance","Apr 10, 1986","Jun 08, 1986",69
Big Fish,Original,"Musical, Drama","Oct 06, 2013","Dec 29, 2013",98
"Big Fish, Little Fish",Original,"Play, Comedy","Mar 15, 1961","Jun 10, 1961",101
Big Game,Original,"Play, Drama","Jan 20, 1920",Feb 1920,21
Big Hearted Herbert,Original,"Play, Comedy","Jan 01, 1934",May 1934,154
Big Jim Garrity,Original,Play,"Oct 16, 1914",Nov 1914,27
Big Lake,Original,"Play, Drama","Apr 11, 1927",Apr 1927,11
Big Night,Original,Play,"Jan 17, 1933",Jan 1933,7
Big River,Original,"Musical, Comedy","Apr 25, 1985","Sep 20, 1987",1005
Big White Fog,Original,"Play, Drama","Oct 22, 1940","Dec 14, 1940",64
Billeted,Original,"Play, Comedy","Dec 25, 1917",Mar 1918,79
Billeted,Revival,"Play, Comedy","May 09, 1922",May 1922,23
Billie,Original,Musical,"Oct 01, 1928","Jan 05, 1929",112
Billion Dollar Baby,Original,"Musical, Comedy","Dec 21, 1945","Jun 29, 1946",220
Billy,Original,Musical,"Mar 22, 1969","Mar 22, 1969",1
Billy Barnes Revue,Original,"Musical, Revue","Aug 04, 1959","Oct 17, 1959",87
Billy Budd,Original,"Play, Drama","Feb 10, 1951","May 12, 1951",105
Billy Draws a Horse,Original,"Play, Comedy","Dec 21, 1939","Dec 31, 1939",13
Billy Elliot: The Musical,Original,Musical,"Nov 13, 2008","Jan 08, 2012",1312
Billy Rose's Crazy Quilt,Original,"Musical, Revue","May 19, 1931",Jul 1931,79
Biloxi Blues,Original,"Play, Comedy","Mar 28, 1985","Jun 28, 1986",524
Bing Crosby on Broadway,Original,"Special, Concert","Dec 07, 1976","Dec 19, 1976",12
Biography,Original,"Play, Comedy","Dec 12, 1932",Aug 1933,267
Biography,Original,"Play, Comedy","Feb 05, 1934","Feb 17, 1934",16
Bird Center,Original,"Play, Comedy","Nov 03, 1904",Nov 1904,13
Bird in Hand,Original,"Play, Comedy","Apr 04, 1929","Jun 07, 1930",500
Bird in Hand,Revival,"Play, Comedy","Nov 10, 1930",Jan 1931,65
Bird in Hand,Revival,"Play, Comedy","Oct 19, 1942","Oct 24, 1942",8
Birthday,Original,"Play, Drama","Dec 26, 1934","Jan 16, 1935",13
Birthright,Original,"Play, Drama","Nov 21, 1933",Nov 1933,7
Bitter Oleander,Original,"Play, Drama","Feb 11, 1935","Mar 02, 1935",24
Bitter Stream,Original,"Play, Drama","Mar 30, 1936",May 1936,61
Bitter Sweet,Original,"Musical, Operetta","Nov 05, 1929","Mar 22, 1930",159
Bitter Sweet,Revival,"Musical, Operetta","May 07, 1934","May 19, 1934",16
Black and Blue,Original,"Musical, Revue","Jan 26, 1989","Jan 20, 1991",829
Black Chiffon,Original,Play,"Sep 27, 1950","Jan 13, 1951",109
Black Cockatoo,Original,"Play, Melodrama","Dec 30, 1926",Jan 1927,4
Black Limelight,Original,"Play, Drama","Nov 09, 1936",Mar 1937,64
Black Picture Show,Original,Play,"Jan 06, 1975","Feb 09, 1975",41
Black Pit,Original,Play,"Mar 20, 1935",Jun 1935,85
Black Rhythm,Original,"Musical, Comedy","Dec 19, 1936","Dec 24, 1936",6
Black Sheep,Original,"Play, Comedy","Oct 13, 1932",Oct 1932,4
Black Souls,Original,Play,"Mar 30, 1932","Apr 09, 1932",13
Black to the Future,Original,"Special, Solo","Sep 12, 2016","Oct 24, 2016",6
Black Velvet,Original,Play,"Sep 27, 1927",Oct 1927,15
Black Widow,Original,"Play, Drama","Feb 12, 1936",Feb 1936,7
Black-Eyed Susan,Original,"Play, Comedy","Dec 23, 1954","Dec 25, 1954",4
Blackberries of 1932,Original,"Musical, Revue","Apr 04, 1932","Apr 23, 1932",24
Blackbird,Original,"Play, Drama","Mar 10, 2016","Jun 11, 2016",108
Blackbirds,Original,Play,"Jan 06, 1913",Jan 1913,16
Blackbirds of 1928,Original,"Musical, Revue","May 09, 1928","Jun 15, 1929",518
Blackbirds of 1933,Original,"Musical, Revue","Dec 02, 1933",Dec 1933,25
Blackouts of 1949,Original,"Musical, Revue","Sep 06, 1949","Oct 15, 1949",51
Blackstone!,Original,"Special, Magic","May 19, 1980","Aug 17, 1980",104
Blast!,Original,"Special, Concert","Apr 17, 2001","Sep 23, 2001",180
Bless You All,Original,"Musical, Revue","Dec 13, 1950","Feb 24, 1951",84
"Bless You, Sister",Original,Play,"Dec 26, 1927",Jan 1928,24
Blessed Event,Original,Play,"Feb 12, 1932","May 21, 1932",115
Blind Alley,Original,Play,"Sep 24, 1935",Jan 1936,119
Blind Alley,Revival,"Play, Drama","Oct 15, 1940","Dec 07, 1940",63
Blind Alleys,Original,"Play, Drama","Nov 17, 1924",Nov 1924,8
Blind Mice,Original,"Play, Comedy","Oct 15, 1930",Oct 1930,14
Blind Youth,Original,Play,"Dec 03, 1917",Feb 1918,96
Blondette,Original,"Musical, Spectacle","Nov 25, 1862","Jan 03, 1863",42
Blood and Sand,Original,"Play, Drama","Sep 20, 1921",Nov 1921,71
Blood Brothers,Original,Musical,"Apr 25, 1993","Apr 30, 1995",840
Blood Knot,Original,Play,"Dec 10, 1985","Mar 02, 1986",95
Blood Money,Original,"Play, Melodrama","Aug 22, 1927",Oct 1927,64
"Blood, Sweat and Stanley Poole",Original,Play,"Oct 05, 1961","Dec 16, 1961",84
Bloodstream,Original,Play,"Mar 30, 1932",Apr 1932,29
Bloody Bloody Andrew Jackson,Original,"Musical, History","Oct 13, 2010","Jan 02, 2011",94
Bloody Laughter,Original,"Play, Drama","Dec 04, 1931",Jan 1932,35
Bloomer Girl,Original,"Musical, Comedy","Oct 05, 1944","Apr 27, 1946",654
Bloomer Girl,Revival,"Musical, Comedy","Jan 06, 1947","Feb 15, 1947",48
Blow Ye Winds,Original,"Play, Comedy","Sep 23, 1937",Oct 1937,36
Blue Beard,Original,"Musical, Spectacle","May 07, 1860","May 19, 1860",16
Blue Bonnet,Original,"Play, Comedy","Aug 28, 1920",Oct 1920,73
Blue Denim,Original,"Play, Drama","Feb 27, 1958","Jul 19, 1958",166
Blue Eyes,Original,"Musical, Comedy","Feb 21, 1921","Apr 10, 1921",56
Blue Grass,Original,Play,"Nov 09, 1908",Nov 1908,24
Blue Holiday,Original,"Musical, Revue","May 21, 1945","May 26, 1945",8
Blue Monday,Original,Play,"Jun 02, 1932",Jun 1932,20
Bluebeard,Original,"Musical, Burlesque","Aug 16, 1871","Sep 21, 1871",30
Bluebeard,Revival,"Musical, Burlesque","Aug 12, 1872","May 05, 1873",24
Bluebeard's Eighth Wife,Original,"Play, Comedy","Sep 19, 1921",Feb 1922,155
Blues for Mister Charlie,Original,Play,"Apr 23, 1964","Aug 29, 1964",148
Blues in the Night,Original,"Musical, Revue","Jun 02, 1982","Jul 18, 1982",53
Bluffing Bluffers,Original,"Play, Comedy","Dec 22, 1924",Jan 1925,24
Bluffs,Original,"Play, Farce","Mar 19, 1908",Mar 1908,12
Bobbi Boland,Original,"Play, Comedy",<em>Never Officially Opened</em>,"Nov 09, 2003",0
Bobby Burnit,Original,Play,"Aug 22, 1910",Sep 1910,32
Boccaccio,Original,"Musical, Opera","May 17, 1880","Jun 12, 1880",28
Boccaccio,Original,Musical,"Nov 24, 1975","Nov 30, 1975",7
Boeing-Boeing,Original,"Play, Comedy","Feb 02, 1965","Feb 20, 1965",23
Boeing-Boeing,Revival,"Play, Comedy","May 04, 2008","Jan 04, 2009",279
Bombay Dreams,Original,Musical,"Apr 29, 2004","Jan 01, 2005",284
Bonnie and Clyde,Original,"Musical, Drama","Dec 01, 2011","Dec 30, 2011",36
Boom Boom,Original,"Musical, Comedy","Jan 28, 1929","Mar 30, 1929",72
Boom Boom Room,Original,"Play, Drama","Nov 08, 1973","Dec 09, 1973",37
Borderside,Original,"Play, Comedy","Apr 30, 1900",May 1900,16
Born Yesterday,Original,"Play, Comedy","Feb 04, 1946","Dec 31, 1949",1642
Born Yesterday,Revival,"Play, Comedy","Jan 29, 1989","Jun 11, 1989",153
Born Yesterday,Revival,"Play, Comedy","Apr 24, 2011","Jun 26, 2011",73
Borned in Texas,Original,Play,"Aug 21, 1950","Aug 26, 1950",8
Borrowed Love,Original,"Play, Comedy","Jun 17, 1929",Jun 1929,13
Borscht Capades,Original,"Musical, Revue","Sep 17, 1951","Dec 02, 1951",90
Borstal Boy,Original,Play,"Mar 31, 1970","Aug 01, 1970",143
Bosom Friends,Original,Play,"Apr 09, 1917",May 1917,48
Bosoms and Neglect,Original,"Play, Comedy","May 03, 1979","May 05, 1979",4
Both Your Houses,Original,"Play, Drama","Mar 06, 1933","May 06, 1933",72
Both Your Houses,Original,"Play, Drama","May 21, 1933",<em>Closing date unknown</em>,48
Bottled,Original,"Play, Comedy","Apr 10, 1928",Jun 1928,62
Bottomland,Original,"Musical, Comedy","Jun 27, 1927","Jul 13, 1927",19
Boudoir,Original,Play,"Feb 07, 1941","Feb 15, 1941",11
Bought and Paid For,Original,Play,"Sep 26, 1911",Oct 1912,431
Bought and Paid For,Revival,"Play, Drama","Dec 07, 1921",Dec 1921,30
Bourbouroche,Original,"Play, Farce","Nov 28, 1921",Dec 1921,41
Box,Original,Play,"Sep 30, 1968","Oct 26, 1968",12
Box Seats,Original,Play,"Apr 19, 1928",May 1928,28
Boy Meets Girl,Original,"Play, Comedy","Nov 27, 1935",Jul 1937,669
Boy Meets Girl,Revival,"Play, Comedy","Jun 22, 1943","Jul 03, 1943",15
Boy Meets Girl,Revival,"Play, Comedy","Apr 13, 1976","May 01, 1976",10
Boyd's Daughter,Original,"Play, Comedy","Oct 11, 1940","Oct 12, 1940",3
Boys and Girls Together,Original,"Musical, Revue","Oct 01, 1940","Mar 15, 1941",191
Boys Will Be Boys,Original,"Play, Comedy","Oct 13, 1919",Nov 1919,45
Brain Sweat,Original,"Play, Comedy","Apr 04, 1934",Apr 1934,5
Brains,Original,Play,"May 03, 1926","May 03, 1926",1
Branded,Original,Play,"Sep 24, 1917",Oct 1917,8
Brass Ankle,Original,"Play, Drama","Apr 23, 1931",May 1931,44
Brass Buttons,Original,"Play, Drama","Dec 05, 1927",Dec 1927,8
Bravo Giovanni,Original,Musical,"May 19, 1962","Sep 15, 1962",76
Bravo!,Original,Play,"Nov 11, 1948","Dec 18, 1948",44
Break a Leg,Original,"Play, Comedy","Apr 29, 1979","Apr 29, 1979",1
Breakfast at Tiffany's,Original,Musical,<em>Never Officially Opened</em>,"Dec 14, 1966",0
Breakfast at Tiffany's,Original,Play,"Mar 20, 2013","Apr 21, 2013",38
Breakfast in Bed,Original,"Play, Farce","Feb 03, 1920",Apr 1920,75
Breaking Into Society,Original,"Musical, Farce","Oct 02, 1905","May 05, 1906",24
Breaking the Code,Original,"Play, Drama","Nov 15, 1987","Apr 10, 1988",169
Brewster's Millions,Original,"Play, Comedy","Dec 31, 1906",<em>Closing date unknown</em>,163
Bridal Quilt,Original,Play,"Oct 10, 1934",Oct 1934,5
Bridal Wise,Original,"Play, Comedy","May 30, 1932",Sep 1932,128
Bride of the Lamb,Original,Play,"Mar 30, 1926",Jul 1926,109
Bridge & Tunnel,Original,"Play, Solo","Jan 26, 2006","Aug 06, 2006",213
Bridge of Distances,Original,"Play, Drama","Sep 28, 1925",Oct 1925,16
Brief Lives,Original,"Play, Solo","Dec 18, 1967","Dec 30, 1967",16
Brief Lives,Original,"Play, Solo","Oct 16, 1974","Dec 01, 1974",53
Brief Moment,Original,"Play, Comedy","Nov 09, 1931",Feb 1932,129
Brigadier Gerard,Original,"Play, Comedy","Nov 05, 1906","Nov 19, 1906",16
Brigadoon,Original,"Musical, Comedy","Mar 13, 1947","Jul 31, 1948",581
Brigadoon,Revival,"Musical, Comedy","May 02, 1950","May 21, 1950",24
Brigadoon,Revival,"Musical, Comedy","Apr 09, 1957","May 05, 1957",47
Brigadoon,Revival,"Musical, Comedy","Jan 30, 1963","Feb 10, 1963",16
Brigadoon,Revival,"Musical, Comedy","Oct 16, 1980","Feb 08, 1981",133
Bright Boy,Original,"Play, Comedy","Mar 02, 1944","Mar 15, 1944",16
Bright Eyes,Original,"Musical, Comedy","Feb 28, 1910",May 1910,48
Bright Honor,Original,"Play, Comedy","Sep 27, 1936",Oct 1936,17
Bright Lights of 1944,Original,"Musical, Revue","Sep 16, 1943","Sep 18, 1943",4
Bright Rebel,Original,"Play, Drama","Dec 27, 1938",Jan 1939,7
Bright Star,Original,Play,"Oct 15, 1935",Oct 1935,7
Bright Star,Original,Musical,"Mar 24, 2016","Jun 26, 2016",109
Brighten the Corner,Original,Play,"Dec 12, 1945","Jan 05, 1946",29
Brighton Beach Memoirs,Original,"Play, Comedy","Mar 27, 1983","May 11, 1986",1299
Brighton Beach Memoirs,Revival,"Play, Comedy","Oct 25, 2009","Nov 01, 2009",9
Brightower,Original,Play,"Jan 28, 1970","Jan 28, 1970",1
Bring Back Birdie,Original,"Musical, Comedy","Mar 05, 1981","Mar 07, 1981",4
"Bring in 'Da Noise, Bring in 'Da Funk",Original,"Musical, Dance","Apr 25, 1996","Jan 10, 1999",1135
Bring It On The Musical,Original,"Musical, Comedy","Aug 01, 2012","Dec 30, 2012",171
Bringing Up Father,Original,"Musical, Comedy","Mar 30, 1925","Apr 18, 1925",24
Britannicus,Original,"Play, Tragedy","Nov 28, 1958","Nov 30, 1958",4
Brittle Heaven,Original,"Play, Drama","Nov 13, 1934","Dec 01, 1934",23
Broadway,Original,"Play, Drama","Sep 16, 1926","Feb 11, 1928",603
Broadway,Revival,"Play, Drama","Jun 25, 1987","Jun 27, 1987",4
Broadway Bound,Original,"Play, Comedy","Dec 04, 1986","Sep 25, 1988",756
Broadway Boy,Original,Play,"May 03, 1932",May 1932,7
Broadway Brevities of 1920,Original,"Musical, Revue","Sep 29, 1920","Dec 18, 1920",105
Broadway Follies,Original,"Musical, Variety","Mar 15, 1981","Mar 15, 1981",1
Broadway Interlude,Original,"Play, Comedy","Apr 19, 1934",Apr 1934,12
Broadway Jones,Original,"Play, Comedy","Sep 23, 1912",Feb 1913,176
Broadway Nights,Original,"Musical, Revue","Jul 15, 1929","Aug 17, 1929",40
Broadway Opry '79,Original,"Special, Concert","Jul 27, 1979","Aug 02, 1979",2
Broadway Shadows,Original,"Play, Comedy","Mar 31, 1930",Apr 1930,16
Broadway Sho-Window,Original,"Musical, Revue","Apr 12, 1936","Apr 24, 1936",28
Broken Dishes,Original,"Play, Comedy","Nov 05, 1929",Apr 1930,178
Broken Glass,Original,Play,"Apr 24, 1994","Jun 26, 1994",73
Broken Journey,Original,Play,"Jun 23, 1942","Jul 11, 1942",23
Broken Threads,Original,Play,"Oct 29, 1917",Dec 1917,56
Broken Wings,Original,"Play, Drama","Dec 08, 1927",Dec 1927,17
Bronx Bombers,Original,Play,"Feb 06, 2014","Mar 02, 2014",29
Brook,Original,Play,"Aug 20, 1923",Sep 1923,16
Brooklyn,Original,Musical,"Oct 21, 2004","Jun 26, 2005",284
Brooklyn Biarritz,Original,Play,"Feb 27, 1941","Mar 01, 1941",4
Brooklyn Boy,Original,"Play, Drama","Feb 03, 2005","Mar 27, 2005",62
"Brooklyn, U.S.A.",Original,Play,"Dec 21, 1941","Feb 07, 1942",57
"Broomsticks, Amen!",Original,"Play, Drama","Feb 09, 1934",Mar 1934,41
Brother and Sister,Revival,"Musical, Burlesque","Oct 08, 1863","Oct 17, 1863",9
Brother Cain,Original,Play,"Sep 12, 1941","Sep 27, 1941",19
Brother Elks,Original,"Play, Comedy","Sep 14, 1925",Sep 1925,16
Brother Officers,Original,"Play, Comedy","Jan 16, 1900",Apr 1900,88
Brother Officers,Revival,"Play, Comedy","Aug 27, 1900",Sep 1900,16
Brother Officers,Revival,"Play, Comedy","Apr 08, 1901",Apr 1901,8
Brother Rat,Original,"Play, Comedy","Dec 16, 1936",May 1938,577
Brothers,Original,Play,"Dec 25, 1928",Aug 1929,255
Brothers,Original,Play,"Nov 09, 1983","Nov 09, 1983",1
Brown Buddies,Original,"Musical, Comedy","Oct 07, 1930","Jan 10, 1931",111
Brown Danube,Original,"Play, Melodrama","May 17, 1939",Jun 1939,21
Brown of Harvard,Original,Play,"Dec 24, 1906","Feb 04, 1907",48
Brown Sugar,Original,"Play, Melodrama","Dec 02, 1937","Dec 04, 1937",4
Bruce Forsyth on Broadway!,Original,"Special, Solo","Jun 12, 1979","Jun 17, 1979",5
Bubbling Brown Sugar,Original,"Musical, Revue","Mar 02, 1976","Dec 31, 1977",766
Buck White,Original,Musical,"Dec 02, 1969","Dec 06, 1969",7
Buddies,Original,"Musical, Comedy","Oct 27, 1919","Jun 12, 1920",259
Buddy,Original,Musical,"Nov 04, 1990","May 19, 1991",225
Bulldog Drummond,Original,"Play, Melodrama","Dec 26, 1921",May 1922,162
Bullets Over Broadway,Original,"Musical, Comedy","Apr 10, 2014","Aug 24, 2014",156
"Bulls, Bears and Asses",Original,Play,"May 06, 1932",May 1932,2
Bully,Original,"Play, Solo","Nov 01, 1977","Nov 05, 1977",7
Bunk of 1926,Original,"Musical, Revue","Feb 16, 1926",May 1926,104
Bunny,Original,Play,"Jan 04, 1916",Jan 1916,16
Bunty Pulls the Strings,Original,Play,"Oct 10, 1911",Sep 1912,391
"Bunty, Bulls and Strings",Original,Special,"Feb 08, 1912","May 11, 1912",108
Buried Child,Original,"Play, Drama","Apr 30, 1996","Jun 30, 1996",72
Burlesque,Original,"Play, Comedy","Sep 01, 1927","Jul 14, 1928",372
Burlesque,Revival,"Play, Comedy","Dec 25, 1946","Jan 10, 1948",439
Burn the Floor,Original,"Musical, Dance","Aug 02, 2009","Jan 10, 2010",185
Burn This,Original,"Play, Drama","Oct 14, 1987","Oct 29, 1988",437
Burning Bright,Original,Play,"Oct 18, 1950","Oct 28, 1950",13
Bury the Dead,Original,"Play, Drama","Apr 18, 1936",Jul 1936,97
Bus Stop,Original,"Play, Comedy","Mar 02, 1955","Apr 21, 1956",478
Bus Stop,Revival,"Play, Comedy","Feb 22, 1996","Mar 17, 1996",29
Business Before Pleasure,Original,Play,"Aug 15, 1917",Jun 1918,357
Buster Brown,Original,Play,"Jan 24, 1905","Apr 08, 1905",95
Busy Izzy's Boodle,Original,"Musical, Comedy","Apr 06, 1908","Apr 13, 1908",9
But For the Grace of God,Original,"Play, Drama","Jan 12, 1937",Feb 1937,42
But For Whom Charlie,Original,Play,"Mar 12, 1964","Jul 02, 1964",47
But Never Jam Today,Original,Musical,"Jul 31, 1979","Aug 05, 1979",8
But Not For Love,Original,"Play, Drama","Nov 26, 1934","Dec 01, 1934",8
But Not Goodbye,Original,Play,"Apr 11, 1944","Apr 29, 1944",23
"But, Seriously...",Original,Play,"Feb 27, 1969","Mar 01, 1969",4
Butley,Original,Play,"Oct 31, 1972","Feb 24, 1973",135
Butley,Revival,Play,"Oct 25, 2006","Jan 14, 2007",94
Butterflies Are Free,Original,"Play, Comedy","Oct 21, 1969","Jul 02, 1972",1128
Button Your Lip,Original,Play,"Jun 14, 1943","Sep 04, 1943",41
"Button, Button",Original,"Play, Comedy","Oct 23, 1929",Oct 1929,5
Buttrio Square,Original,"Musical, Play","Oct 14, 1952","Oct 18, 1952",7
Buy Me Blue Ribbons,Original,"Play, Comedy","Oct 17, 1951","Oct 27, 1951",13
"Buy, Buy, Baby",Original,"Play, Farce","Oct 07, 1926",Oct 1926,12
By George,Original,"Play, Solo","Oct 12, 1967","Oct 22, 1967",13
By Jeeves,Original,"Musical, Comedy","Oct 28, 2001","Dec 30, 2001",73
By Jupiter,Original,"Musical, Comedy","Jun 03, 1942","Jun 12, 1943",427
By Pigeon Post,Original,Play,"Nov 25, 1918",Dec 1918,25
By Request,Original,"Play, Comedy","Sep 27, 1928",Oct 1928,28
By the Beautiful Sea,Original,"Musical, Comedy","Apr 08, 1954","Nov 27, 1954",270
By the Way,Original,"Musical, Revue","Dec 28, 1925",May 1926,176
By Your Leave,Original,"Play, Comedy","Jan 24, 1934","Feb 24, 1934",37
Bye Bye Birdie,Original,"Musical, Comedy","Apr 14, 1960","Oct 07, 1961",607
Bye Bye Birdie,Revival,"Musical, Comedy","Oct 15, 2009","Jan 24, 2010",117
"Bye, Bye, Barbara",Original,"Musical, Comedy","Aug 25, 1924","Sep 06, 1924",16
"Bye, Bye, Bonnie",Original,"Musical, Comedy","Jan 13, 1927","Apr 30, 1927",125
C.O.D.,Original,"Play, Comedy","Nov 11, 1912",Nov 1912,16
Cabalgata,Original,"Special, Revue","Jul 07, 1949","Sep 10, 1949",76
Cabaret,Original,"Musical, Drama","Nov 20, 1966","Sep 06, 1969",1165
Cabaret,Revival,"Musical, Drama","Oct 22, 1987","Jun 04, 1988",261
Cabaret,Revival,"Musical, Drama","Mar 19, 1998","Jan 04, 2004",2377
Cabaret,Revival,"Musical, Drama","Apr 24, 2014","Mar 29, 2015",388
Cabin in the Sky,Original,"Musical, Fantasy","Oct 25, 1940","Mar 08, 1941",156
Cactus Flower,Original,"Play, Comedy","Dec 08, 1965","Nov 23, 1968",1234
Caesar and Cleopatra,Original,"Play, Comedy","Oct 30, 1906",Dec 1906,49
Caesar and Cleopatra,Revival,"Play, Comedy","Apr 13, 1925",May 1925,48
Caesar and Cleopatra,Revival,"Play, Comedy","Dec 21, 1949","Apr 29, 1950",151
Caesar and Cleopatra,Revival,"Play, Comedy","Dec 19, 1951","Apr 12, 1952",67
Caesar and Cleopatra,Revival,"Play, Comedy","Feb 24, 1977","Mar 05, 1977",12
Caesar's Wife,Original,"Play, Drama","Nov 24, 1919",Feb 1920,81
Cafe,Original,"Play, Comedy","Aug 28, 1930",Aug 1930,4
Cafe Crown,Original,"Play, Comedy","Jan 23, 1942","May 23, 1942",141
Cafe Crown,Original,"Musical, Comedy","Apr 17, 1964","Apr 18, 1964",3
Cafe Crown,Revival,"Play, Comedy","Feb 18, 1989","Mar 26, 1989",45
Cafe de Danse,Original,Play,"Jan 14, 1929",Feb 1929,31
Cain,Original,"Play, Poem","Apr 08, 1925",Apr 1925,14
Calculated Risk,Original,"Play, Mystery","Oct 31, 1962","May 11, 1963",221
Caleb Stone's Death Watch,Original,Play,"May 06, 1924","May 06, 1924",1
Caleb West,Original,"Play, Drama","Sep 17, 1900",Oct 1900,32
Caliban of the Yellow Sands,Original,"Musical, Spectacle","May 24, 1916",Jun 1916,10
Calico Wedding,Original,"Play, Comedy","Mar 07, 1945","Mar 10, 1945",5
California Suite,Original,"Play, Comedy","Jun 10, 1976","Jul 02, 1977",445
Caligula,Original,Play,"Feb 16, 1960","Mar 19, 1960",38
Call It a Day,Original,"Play, Comedy","Jan 28, 1936",Jul 1936,194
Call Me Madam,Original,"Musical, Comedy","Oct 12, 1950","May 03, 1952",644
Call Me Mister,Original,"Musical, Revue","Apr 18, 1946","Jan 10, 1948",734
Call Me Ziggy,Original,"Play, Farce","Feb 12, 1937",Feb 1937,3
Call the Doctor,Original,"Play, Comedy","Aug 31, 1920",Dec 1920,127
Calling All Stars,Original,"Musical, Revue","Dec 13, 1934","Jan 12, 1935",36
Cambridge Circus,Original,"Musical, Revue","Oct 06, 1964","Oct 24, 1964",23
Camelot,Original,Musical,"Dec 03, 1960","Jan 05, 1963",873
Camelot,Revival,Musical,"Jul 08, 1980","Aug 23, 1980",56
Camelot,Revival,Musical,"Nov 15, 1981","Jan 02, 1982",48
Camelot,Revival,Musical,"Jun 21, 1993","Aug 07, 1993",56
Cameo Kirby,Original,Play,"Dec 20, 1909",Jan 1910,24
Camille,Revival,Play,"Apr 18, 1904",May 1904,18
Camille,Revival,Play,"Apr 18, 1904",May 1904,16
Camille,Revival,"Play, Drama","Apr 24, 1911",May 1911,8
Camille,Revival,"Play, Drama","Jan 26, 1931",Mar 1931,57
Camille,Revival,"Play, Drama","Nov 01, 1932",Nov 1932,15
Camille,Revival,"Play, Drama","Dec 04, 1935",Dec 1935,7
Camino Real,Original,"Play, Drama","Mar 17, 1953","May 09, 1953",60
Camino Real,Revival,"Play, Drama","Jan 08, 1970","Feb 21, 1970",52
Can-Can,Original,"Musical, Comedy","May 07, 1953","Jun 25, 1955",892
Can-Can,Revival,"Musical, Comedy","Apr 30, 1981","May 03, 1981",5
Canaries Sometimes Sing,Original,"Play, Comedy","Oct 20, 1930",Nov 1930,24
Canary Cottage,Original,"Musical, Farce","Feb 05, 1917","May 12, 1917",112
Canary Dutch,Original,Play,"Sep 08, 1925","Oct 10, 1925",39
Canciones de mi Padre,Original,"Musical, Revue","Jul 12, 1988","Jul 30, 1988",18
Candida,Original,"Play, Comedy","Dec 09, 1903",Apr 1904,133
Candida,Revival,"Play, Comedy","Dec 11, 1907",Jan 1908,30
Candida,Revival,"Play, Comedy","Mar 22, 1922",Apr 1922,43
Candida,Revival,"Play, Comedy","Dec 12, 1924",Apr 1925,143
Candida,Revival,"Play, Comedy","Nov 09, 1925",Nov 1925,24
Candida,Revival,"Play, Comedy","Mar 10, 1937","May 08, 1937",50
Candida,Revival,"Play, Comedy","Apr 27, 1942","May 31, 1942",27
Candida,Revival,Play,"Apr 03, 1946","May 02, 1946",24
Candida,Revival,"Play, Comedy","Apr 22, 1952","May 17, 1952",31
Candida,Revival,"Play, Comedy","Apr 06, 1970","Apr 11, 1970",8
Candida,Revival,"Play, Comedy","Oct 15, 1981","Jan 02, 1982",91
Candida,Revival,"Play, Comedy","Mar 25, 1993","May 02, 1993",45
Candide,Original,"Musical, Comedy","Dec 01, 1956","Feb 02, 1957",73
Candide,Revival,"Musical, Comedy","Mar 10, 1974","Jan 04, 1976",740
Candide,Revival,"Musical, Comedy","Apr 29, 1997","Jul 27, 1997",104
Candle in the Wind,Original,Play,"Oct 22, 1941","Jan 10, 1942",95
Candle Light,Original,"Play, Comedy","Sep 30, 1929",Jan 1930,128
"Candles, Snow & Mistletoe",Original,Special,"Dec 27, 1993","Dec 30, 1993",7
Canterbury Tales,Original,Musical,"Feb 03, 1969","May 18, 1969",121
Canterbury Tales,Revival,Musical,"Feb 12, 1980","Feb 24, 1980",16
Cape Cod Folks,Original,"Play, Drama","Oct 15, 1906",Nov 1906,24
Cape Cod Follies,Original,"Musical, Revue","Sep 18, 1929","Oct 12, 1929",29
Cape Smoke,Original,Play,"Feb 16, 1925",May 1925,104
Caponsacchi,Original,"Play, Drama","Oct 26, 1926",Jun 1927,269
Caponsacchi,Revival,"Play, Drama","Nov 19, 1928",Dec 1928,16
